Name	Start	Duration	Time Format	Type	Description
LFX - STAGE RIGHT LIGHT	0:00.000	2:14.720	decimal	Cue	
LFX - LED STATIC BLUE	0:00.000	0:13.679	decimal	Cue	
LFX - LED STATIC RED	0:13.679	0:00.509	decimal	Cue	
LFX - LED STATIC BLUE	0:14.188	0:00.478	decimal	Cue	
LFX - LED STATIC RED	0:14.666	0:00.511	decimal	Cue	
LFX - LED STATIC BLUE	0:15.178	0:00.513	decimal	Cue	
LFX - LED STATIC RED	0:15.691	0:03.897	decimal	Cue	
LFX - LOW STAGE WASH	0:15.691	0:14.504	decimal	Cue	
LFX - LED STATIC BLUE	0:19.589	0:03.922	decimal	Cue	
LFX - LED STATIC RED	0:23.511	0:03.940	decimal	Cue	
LFX - LED STATIC BLUE	0:27.452	0:01.974	decimal	Cue	
LFX - LED CANON	0:29.426	0:00.769	decimal	Cue	
LFX - SR SPOT	0:29.426	1:45.144	decimal	Cue	
LFX - LED STATIC BLUE	0:30.196	0:30.860	decimal	Cue	
LFX - LED RED/BLUE PULSE	1:01.056	0:01.983	decimal	Cue	
LFX - LED STATIC BLUE	1:03.040	0:13.772	decimal	Cue	
LFX - STAGE WASH PULSE	1:03.040	0:13.772	decimal	Cue	
LFX - LED RED/BLUE PULSE	1:16.812	0:00.940	decimal	Cue	
LFX - LED CANON	1:17.753	0:01.007	decimal	Cue	
LFX - LED STATIC BLUE	1:18.760	0:01.964	decimal	Cue	
LFX - LED CANON	1:20.725	0:00.769	decimal	Cue	
LFX - LED STATIC RED	1:21.494	0:01.269	decimal	Cue	
LFX - LED STATIC BLUE	1:22.763	0:29.705	decimal	Cue	
LFX - LED RED/BLUE PULSE	1:52.469	0:02.008	decimal	Cue	
LFX - LED STATIC BLUE	1:54.477	0:13.735	decimal	Cue	
LFX - STAGE WASH PULSE	1:54.477	0:15.709	decimal	Cue	
LFX - LED CANON	2:08.212	0:01.974	decimal	Cue	
LFX - LED STATIC BLUE	2:10.186	0:01.974	decimal	Cue	
LFX - LED STATIC RED	2:12.160	0:02.410	decimal	Cue	
LFX - STAGE WASH PULSE	2:12.160	0:02.410	decimal	Cue	
