Name	Start	Duration	Time Format	Type	Description
LFX - BLACKOUT	4:40.321	0:03.180	decimal	Cue	
LFX - FAIRY SPOT	4:39.884	0:00.436	decimal	Cue	
LFX - FULL STAGE WASH	4:37.731	0:02.152	decimal	Cue	
LFX - PARTY CHASE	4:22.697	0:15.033	decimal	Cue	
LFX - FULL STAGE WASH	4:21.500	0:01.197	decimal	Cue	
LFX - LOW STAGE WASH	4:21.125	0:00.374	decimal	Cue	
LFX - GREEN STAGE WASH	4:20.708	0:00.416	decimal	Cue	
LFX - FULL STAGE WASH	4:18.307	0:02.400	decimal	Cue	
LFX - PARTY CHASE	4:11.832	0:06.474	decimal	Cue	
LFX - FULL STAGE WASH	4:11.275	0:00.556	decimal	Cue	
LFX - LIGHT FORMATION 1	4:10.830	0:00.444	decimal	Cue	
LFX - LIGHT FORMATION 2	4:10.217	0:00.612	decimal	Cue	
LFX - LIGHT FORMATION 1	4:09.638	0:00.578	decimal	Cue	
LFX - PARTY CHASE	4:03.000	0:06.638	decimal	Cue	
LFX - STAGE PULSE	3:45.870	0:17.129	decimal	Cue	
LFX - FULL STAGE WASH	3:45.870	0:17.129	decimal	Cue	
LFX - FULL STAGE WASH	1:56.721	1:49.148	decimal	Cue	
LFX - FAIRY SPOT	1:39.381	0:17.339	decimal	Cue	
LFX - GREEN STAGE WASH	1:39.381	0:17.339	decimal	Cue	
LFX - FULL STAGE WASH	1:38.415	0:00.965	decimal	Cue	
LFX - GREEN STAGE WASH	1:38.000	0:00.415	decimal	Cue	
LFX - FAIRY SPOT	1:37.561	0:00.438	decimal	Cue	
LFX - GREEN STAGE WASH	1:37.561	0:00.438	decimal	Cue	
LFX - FAIRY SPOT	1:28.626	0:08.934	decimal	Cue	
LFX - CS SPOT	1:28.626	0:08.934	decimal	Cue	
LFX - GREEN PARTY CHASE	1:28.626	0:08.934	decimal	Cue	
LFX - FULL STAGE WASH	1:26.494	0:02.131	decimal	Cue	
LFX - FAIRY SPOT	1:20.000	0:06.494	decimal	Cue	
LFX - GREEN PARTY CHASE	1:20.000	0:06.494	decimal	Cue	
LFX - CS SPOT	1:20.000	0:06.494	decimal	Cue	
LFX - FULL STAGE WASH	1:19.174	0:00.825	decimal	Cue	
LFX - FAIRY SPOT	1:17.599	0:01.574	decimal	Cue	
LFX - GREEN PARTY CHASE	1:17.599	0:01.574	decimal	Cue	
LFX - CS SPOT	1:04.495	0:13.103	decimal	Cue	
LFX - GREEN PARTY CHASE	1:04.495	0:13.103	decimal	Cue	
LFX - THREE QUARTER CS SPOT	1:02.716	0:01.778	decimal	Cue	
LFX - GREEN PARTY CHASE	1:02.716	0:01.778	decimal	Cue	
LFX - FULL STAGE WASH	1:01.681	0:01.034	decimal	Cue	
LFX - LOW STAGE WASH	1:01.217	0:00.463	decimal	Cue	
LFX - GREEN STAGE WASH	1:00.825	0:00.391	decimal	Cue	
LFX - CS SPOT	0:58.406	0:02.418	decimal	Cue	
LFX - FULL SR SPOT	0:58.406	0:02.418	decimal	Cue	
LFX - GREEN STAGE WASH	0:58.406	0:02.418	decimal	Cue	
LFX - FULL SR SPOT	0:51.933	0:06.472	decimal	Cue	
LFX - GREEN PARTY CHASE	0:51.933	0:06.472	decimal	Cue	
LFX - FULL STAGE WASH	0:49.748	0:02.184	decimal	Cue	
LFX - FULL SR SPOT	0:43.270	0:06.477	decimal	Cue	
LFX - GREEN PARTY CHASE	0:43.270	0:06.477	decimal	Cue	
LFX - FULL STAGE WASH	0:42.421	0:00.848	decimal	Cue	
LFX - CLICKING	0:25.878	0:16.542	decimal	Cue	
LFX - FAIRY SPOT	0:25.878	0:16.542	decimal	Cue	
LFX - FAIRY WASH	0:25.878	0:16.542	decimal	Cue	
LFX - FAIRY SPOT	0:00.000	0:25.878	decimal	Cue	
LFX - FAIRY WASH	0:00.000	0:25.878	decimal	Cue	
