Name	Start	Duration	Time Format	Type	Description
LFX - FULL STAGE WASH	4:31.115	0:01.887	decimal	Cue	
LFX - PARTY CHASE	3:43.302	0:47.812	decimal	Cue	
LFX - FULL WASH	3:42.801	0:00.500	decimal	Cue	
LFX - TAB CHASE	3:41.286	0:01.514	decimal	Cue	
LFX - FAIRY SPOT	3:41.286	0:01.514	decimal	Cue	
LFX - CS WASH	3:41.286	0:01.514	decimal	Cue	
LFX - ROMANCE WASH	3:13.411	0:27.875	decimal	Cue	
LFX - CS WASH	3:11.362	0:02.048	decimal	Cue	
LFX - RED STAGE PULSE	3:11.362	0:02.048	decimal	Cue	
LFX - PARTY CHASE	2:53.442	0:17.919	decimal	Cue	
LFX - FULL WASH	2:52.919	0:00.522	decimal	Cue	
LFX - CS WASH	2:51.408	0:01.510	decimal	Cue	
LFX - TAB CHASE	2:51.408	0:01.510	decimal	Cue	
LFX - ATMOS WASH	2:47.448	0:03.959	decimal	Cue	
LFX - CS SPOT	2:47.448	0:03.959	decimal	Cue	
LFX - ROMANCE WASH	2:23.464	0:23.983	decimal	Cue	
LFX - CS SPOT	2:23.464	0:23.983	decimal	Cue	
LFX - PARTY CHASE	2:21.416	0:02.047	decimal	Cue	
LFX - FULL STAGE WASH	2:19.000	0:02.416	decimal	Cue	
LFX - PARTY CHASE	2:17.572	0:01.427	decimal	Cue	
LFX - FULL STAGE WASH	2:15.076	0:02.495	decimal	Cue	
LFX - PARTY CHASE	2:13.561	0:01.514	decimal	Cue	
LFX - FULL STAGE WASH	2:11.000	0:02.561	decimal	Cue	
LFX - PARTY CHASE	2:09.596	0:01.403	decimal	Cue	
LFX - FULL STAGE WASH	2:06.785	0:02.810	decimal	Cue	
LFX - PARTY CHASE	1:59.597	0:07.187	decimal	Cue	
LFX - FULL STAGE WASH	1:58.932	0:00.664	decimal	Cue	
LFX - PARTY CHASE	1:51.510	0:07.421	decimal	Cue	
LFX - FULL WASH	1:51.168	0:00.341	decimal	Cue	
LFX - FORMATION CHASE	1:49.667	0:01.500	decimal	Cue	
LFX - FULL STAGE WASH	1:49.667	0:01.500	decimal	Cue	
LFX - FULL STAGE WASH	1:49.128	0:02.039	decimal	Cue	
LFX - FAIRY SPOT	1:47.699	0:01.428	decimal	Cue	
LFX - CS WASH	1:47.699	0:01.428	decimal	Cue	
LFX - COLOUR SCROLL	1:42.732	0:04.966	decimal	Cue	
LFX - FAIRY SPOT	1:42.732	0:04.966	decimal	Cue	
LFX - FULL STAGE WASH	1:42.000	0:00.732	decimal	Cue	
LFX - COLOUR SCROLL	1:35.669	0:06.330	decimal	Cue	
LFX - WITCH SPOT	1:35.669	0:06.330	decimal	Cue	
LFX - PARTY PULSE	1:27.246	0:08.423	decimal	Cue	
LFX - FULL STAGE WASH	1:27.246	0:08.423	decimal	Cue	
LFX - FULL WASH	1:26.556	0:00.689	decimal	Cue	
LFX - PARTY PULSE	1:19.667	0:06.888	decimal	Cue	
LFX - FULL STAGE WASH	1:19.667	0:06.888	decimal	Cue	
LFX - COLOUR SCROLL	1:03.823	0:15.843	decimal	Cue	
LFX - FULL TAB WASH	1:03.823	0:15.843	decimal	Cue	
LFX - FULL STAGE WASH	0:47.855	0:15.967	decimal	Cue	
LFX - CS SPOT	0:47.362	0:00.492	decimal	Cue	
LFX - LIGHT FORMATION 2	0:47.362	0:00.492	decimal	Cue	
LFX - CS SPOT	0:46.877	0:00.484	decimal	Cue	
LFX - LIGHT FORMATION 1	0:46.877	0:00.484	decimal	Cue	
LFX - ROMANCE WASH	0:39.888	0:06.988	decimal	Cue	
LFX - CS SPOT	0:08.000	0:31.888	decimal	Cue	
LFX - FORMATION CHASE	0:08.000	0:31.888	decimal	Cue	
LFX - FULL STAGE WASH	0:00.000	0:08.000	decimal	Cue	
