Name	Start	Duration	Time Format	Type	Description
LFX - BLACKOUT	2:28.147	0:01.462	decimal	Cue	
LFX - CS SPOT	2:26.732	0:01.414	decimal	Cue	
LFX - EVIL WASH	2:25.937	0:02.209	decimal	Cue	
LFX - TAB CHASE	2:22.972	0:02.965	decimal	Cue	
LFX - EVIL WASH	2:19.507	0:03.464	decimal	Cue	
LFX - CS SPOT	2:19.507	0:03.464	decimal	Cue	
LFX - PARTY CHASE	1:50.000	0:29.507	decimal	Cue	
LFX - TAB CHASE	1:49.047	0:00.952	decimal	Cue	
LFX - CS SPOT	1:49.047	0:00.952	decimal	Cue	
LFX - FORMATION CHASE	1:42.587	0:06.459	decimal	Cue	
LFX - CS SPOT	1:42.587	0:06.459	decimal	Cue	
LFX - LIGHT FORMATION 2	1:38.812	0:03.774	decimal	Cue	
LFX - CS SPOT	1:38.812	0:03.774	decimal	Cue	
LFX - LIGHT FORMATION 1	1:35.135	0:03.676	decimal	Cue	
LFX - CS SPOT	1:35.135	0:03.676	decimal	Cue	
LFX - FORMATION CHASE	1:20.240	0:14.894	decimal	Cue	
LFX - CS WASH	1:20.240	0:14.894	decimal	Cue	
LFX - PARTY CHASE	1:05.357	0:14.882	decimal	Cue	
LFX - TAB CHASE	1:04.646	0:00.710	decimal	Cue	
LFX - CS SPOT	1:04.646	0:00.710	decimal	Cue	
LFX - FORMATION CHASE	0:20.692	0:43.953	decimal	Cue	
LFX - CS WASH	0:20.692	0:43.953	decimal	Cue	
LFX - TAB CHASE	0:18.757	0:01.934	decimal	Cue	
LFX - LOW TAB WASH	0:18.757	0:01.934	decimal	Cue	
LFX - EVIL WASH	0:01.127	0:17.629	decimal	Cue	
LFX - CS SPOT	0:01.127	0:17.629	decimal	Cue	
LFX - EVIL WASH	0:00.000	0:01.127	decimal	Cue	
