Name	Start	Duration	Time Format	Type	Description
LFX - FOREST STAGE WASH	0:00.000	0:04.571	decimal	Cue	
LFX - FULL STAGE WASH	0:04.571	0:18.350	decimal	Cue	
LFX - SPOTLIGHT FOCUS	0:22.921	0:09.506	decimal	Cue	
LFX - FULL STAGE WASH	0:32.427	0:17.306	decimal	Cue	
LFX - FOREST STAGE WASH	0:49.734	0:01.131	decimal	Cue	
LFX - FULL STAGE WASH	0:50.865	0:18.458	decimal	Cue	
LFX - SPOTLIGHT FOCUS	1:09.323	0:09.297	decimal	Cue	
LFX - CS FOCUS	1:18.620	0:18.495	decimal	Cue	
LFX - HALF SPOTLIGHT	1:37.116	0:09.176	decimal	Cue	
LFX - SL FOCUS	1:37.116	0:06.950	decimal	Cue	
LFX - LED STATIC ORANGE	1:37.116	0:06.953	decimal	Cue	
LFX - LED STATIC RED	1:44.070	0:02.222	decimal	Cue	
LFX - FULL STAGE WASH	1:45.814	0:40.075	decimal	Cue	
