Name	Start	Duration	Time Format	Type	Description
LFX - FULL STAGE WASH	0:00.000	0:38.883	decimal	Cue	
LFX - BADUM BUM	0:05.625	0:00.691	decimal	Cue	
LFX - BADUM BUM	0:11.095	0:00.460	decimal	Cue	
LFX - BADUM BUM	0:16.544	0:00.544	decimal	Cue	
LFX - BADUM BUM	0:22.000	0:00.500	decimal	Cue	
LFX - WHITE PULSE CHASE	0:28.000	0:08.024	decimal	Cue	
LFX - QUICK WHITE PULSE	0:36.024	0:01.847	decimal	Cue	
LFX - FULL STAGE WASH	0:38.883	0:16.713	decimal	Cue	
LFX - LED STATIC WHITE	0:39.184	0:00.229	decimal	Cue	
LFX - LED STATIC WHITE	0:40.546	0:00.224	decimal	Cue	
LFX - TWINKLY	0:42.843	0:01.337	decimal	Cue	
LFX - LED STATIC WHITE	0:44.634	0:00.365	decimal	Cue	
LFX - LED STATIC WHITE	0:46.000	0:00.267	decimal	Cue	
LFX - WHITE PULSE CHASE	0:48.293	0:01.030	decimal	Cue	
LFX - LED STATIC WHITE	0:50.115	0:00.173	decimal	Cue	
LFX - LED STATIC WHITE	0:51.500	0:00.187	decimal	Cue	
LFX - BADUM BUM	0:55.106	0:00.490	decimal	Cue	
LFX - FOREST STAGE WASH	0:55.597	0:00.961	decimal	Cue	
LFX - LIGHT FORMATION 1	0:56.558	0:00.671	decimal	Cue	
LFX - FIX STUFF WASH	0:56.558	0:28.680	decimal	Cue	
LFX - LIGHT FORMATION 2	0:57.230	0:00.691	decimal	Cue	
LFX - QUICK WHITE PULSE	0:57.921	0:01.369	decimal	Cue	
LFX - CIRCUS WASH	0:59.291	0:01.013	decimal	Cue	
LFX - FOREST STAGE WASH	1:00.305	0:01.722	decimal	Cue	
LFX - CIRCUS WASH	1:02.028	0:01.003	decimal	Cue	
LFX - FOREST STAGE WASH	1:03.032	0:01.706	decimal	Cue	
LFX - CIRCUS WASH	1:04.738	0:01.025	decimal	Cue	
LFX - FOREST STAGE WASH	1:05.764	0:01.699	decimal	Cue	
LFX - FRONT-BACK CANON	1:07.463	0:02.750	decimal	Cue	
LFX - CIRCUS WASH	1:10.214	0:01.014	decimal	Cue	
LFX - FOREST STAGE WASH	1:11.228	0:01.716	decimal	Cue	
LFX - FRONT-BACK CANON	1:12.945	0:01.380	decimal	Cue	
LFX - CIRCUS WASH	1:14.326	0:00.673	decimal	Cue	
LFX - TAB CHASE	1:15.000	0:00.701	decimal	Cue	
LFX - TAB STAGGER CHASE	1:15.701	0:09.537	decimal	Cue	
LFX - FULL STAGE WASH	1:25.239	0:03.760	decimal	Cue	
LFX - SPOTLIGHT FOCUS	1:29.000	0:09.000	decimal	Cue	
LFX - CS FOCUS	1:38.000	0:02.819	decimal	Cue	
LFX - TAB STAGGER CHASE	1:40.819	0:01.366	decimal	Cue	
LFX - FIX STUFF WASH	1:40.819	0:01.366	decimal	Cue	
LFX - SPOTLIGHT FOCUS	1:42.186	0:00.324	decimal	Cue	
LFX - FULL STAGE WASH	1:42.510	0:17.973	decimal	Cue	
LFX - LED STATIC WHITE	1:43.883	0:00.314	decimal	Cue	
LFX - LED STATIC WHITE	1:45.259	0:00.240	decimal	Cue	
LFX - LED STATIC WHITE	1:46.645	0:00.252	decimal	Cue	
LFX - WHITE PULSE CHASE	1:47.672	0:01.327	decimal	Cue	
LFX - LED STATIC WHITE	1:49.396	0:00.269	decimal	Cue	
LFX - LED STATIC WHITE	1:50.788	0:00.398	decimal	Cue	
LFX - TWINKLY	1:53.135	0:01.577	decimal	Cue	
LFX - CIRCUS WASH	2:00.484	0:01.049	decimal	Cue	
LFX - TAB STAGGER CHASE	2:01.533	0:09.652	decimal	Cue	
LFX - FIX STUFF WASH	2:01.533	0:10.347	decimal	Cue	
LFX - WHITE PULSE CHASE	2:01.533	0:10.347	decimal	Cue	
LFX - TAB CHASE	2:11.185	0:00.695	decimal	Cue	
LFX - FULL TAB WASH	2:11.880	0:01.041	decimal	Cue	
LFX - CIRCUS WASH	2:12.921	0:01.369	decimal	Cue	
LFX - FULL STAGE WASH	2:14.290	0:05.188	decimal	Cue	
LFX - TAB STAGGER CHASE	2:19.479	0:10.646	decimal	Cue	
LFX - FULL STAGE WASH	2:19.479	0:10.646	decimal	Cue	
LFX - CS FOCUS	2:30.125	0:01.267	decimal	Cue	
LFX - CIRCUS WASH	2:31.392	0:03.698	decimal	Cue	
