Name	Start	Duration	Time Format	Type	Description
LFX - GROOVY	0:00.000	0:14.000	decimal	Cue	
LFX - SPOTLIGHT	0:00.000	0:08.000	decimal	Cue	
LFX - SPOTLIGHT FOCUS	0:08.000	0:06.000	decimal	Cue	
LFX - LED STATIC PINK	0:14.000	0:00.500	decimal	Cue	
LFX - SPOTLIGHT	0:14.000	0:01.000	decimal	Cue	
LFX - LED STATIC WHITE	0:14.500	0:00.500	decimal	Cue	
LFX - LED STATIC PINK	0:15.000	0:00.511	decimal	Cue	
LFX - STAGE WASH PULSE	0:15.000	0:00.511	decimal	Cue	
LFX - LED STATIC WHITE	0:15.511	0:00.509	decimal	Cue	
LFX - HALF TAB WASH	0:16.020	1:02.038	decimal	Cue	
LFX - GROOVY	0:16.020	0:14.012	decimal	Cue	
LFX - SR FOCUS	0:16.020	0:10.020	decimal	Cue	
LFX - HALF SPOTLIGHT	0:24.070	0:10.708	decimal	Cue	
LFX - LED STATIC PINK	0:30.033	0:00.466	decimal	Cue	
LFX - LED STATIC WHITE	0:30.500	0:00.525	decimal	Cue	
LFX - LED STATIC PINK	0:31.025	0:00.472	decimal	Cue	
LFX - LED STATIC WHITE	0:31.497	0:00.526	decimal	Cue	
LFX - LED GREEN/PINK PULSE	0:32.029	0:12.004	decimal	Cue	
LFX - SL FOCUS	0:32.029	0:15.064	decimal	Cue	
LFX - LED STATIC PINK	0:46.000	0:00.523	decimal	Cue	
LFX - LED STATIC WHITE	0:46.523	0:00.476	decimal	Cue	
LFX - LED STATIC PINK	0:47.000	0:00.539	decimal	Cue	
LFX - LED STATIC WHITE	0:47.539	0:00.460	decimal	Cue	
LFX - PARTY CHASE	0:48.000	0:27.992	decimal	Cue	
LFX - SPOTLIGHT	0:48.000	0:15.541	decimal	Cue	
LFX - HALF STAGE WASH	1:03.541	0:12.458	decimal	Cue	
LFX - QUICK WHITE PULSE	1:03.541	0:12.458	decimal	Cue	
LFX - LED STATIC PINK	1:16.052	0:02.007	decimal	Cue	
LFX - LED STATIC PINK	1:18.056	0:00.458	decimal	Cue	
LFX - LED STATIC WHITE	1:18.517	0:00.291	decimal	Cue	
LFX - LED STATIC PINK	1:18.809	0:00.717	decimal	Cue	
LFX - LED STATIC WHITE	1:19.531	0:00.551	decimal	Cue	
LFX - LED GREEN/PINK PULSE	1:20.065	0:15.953	decimal	Cue	
LFX - CS FOCUS	1:24.668	0:00.735	decimal	Cue	
LFX - CS FOCUS	1:26.713	0:00.751	decimal	Cue	
LFX - CS FOCUS	1:32.636	0:00.699	decimal	Cue	
LFX - CS FOCUS	1:34.716	0:01.295	decimal	Cue	
LFX - SL FOCUS	1:36.013	0:01.502	decimal	Cue	
LFX - LED STATIC PINK	1:36.013	0:01.502	decimal	Cue	
LFX - HALF TAB WASH	1:37.528	0:30.455	decimal	Cue	
LFX - PARTY CHASE	1:38.087	0:00.000	decimal	Cue	
LFX - SL FOCUS	1:38.101	0:13.709	decimal	Cue	
LFX - SPOTLIGHT	1:51.826	0:16.157	decimal	Cue	
LFX - SPOTLIGHT	2:07.987	0:02.012	decimal	Cue	
LFX - HALF TAB WASH	2:07.987	0:02.012	decimal	Cue	
LFX - LED STATIC PINK	2:07.987	0:02.012	decimal	Cue	
