Name	Start	Duration	Time Format	Type	Description
LFX - FULL STAGE WASH	2:08.389	0:01.449	decimal	Cue	
LFX - PARTY CHASE	2:00.383	0:08.005	decimal	Cue	
LFX - LIGHT FORMATION 2	1:59.873	0:00.509	decimal	Cue	
LFX - LIGHT FORMATION 1	1:59.353	0:00.519	decimal	Cue	
LFX - ATMOS WASH	1:58.636	0:00.716	decimal	Cue	
LFX - PARTY FLASHING	1:56.326	0:02.309	decimal	Cue	
LFX - PARTY PULSE	1:44.318	0:12.007	decimal	Cue	
LFX - CS SPOT	1:44.318	0:12.007	decimal	Cue	
LFX - DUO SPOT	1:44.318	0:12.007	decimal	Cue	
LFX - LIGHT FORMATION 2	1:43.838	0:00.479	decimal	Cue	
LFX - LIGHT FORMATION 1	1:43.288	0:00.549	decimal	Cue	
LFX - COLOUR SCROLL	1:28.000	0:15.288	decimal	Cue	
LFX - CS SPOT	1:28.000	0:15.288	decimal	Cue	
LFX - TICK TICK BOOM	1:27.353	0:00.646	decimal	Cue	
LFX - GREEN STAGE WASH	1:26.795	0:00.558	decimal	Cue	
LFX - PARTY CHASE	1:24.072	0:02.722	decimal	Cue	
LFX - FULL STAGE WASH	1:23.805	0:00.266	decimal	Cue	
LFX - PARTY CHASE	1:22.311	0:01.493	decimal	Cue	
LFX - FULL STAGE WASH	1:21.778	0:00.532	decimal	Cue	
LFX - PARTY CHASE	1:16.143	0:05.634	decimal	Cue	
LFX - FULL STAGE WASH	1:15.789	0:00.353	decimal	Cue	
LFX - PARTY CHASE	1:14.317	0:01.471	decimal	Cue	
LFX - FULL STAGE WASH	1:13.781	0:00.535	decimal	Cue	
LFX - PARTY CHASE	1:12.320	0:01.460	decimal	Cue	
LFX - PARTY PULSE	1:04.269	0:08.050	decimal	Cue	
LFX - CS SPOT	1:04.269	0:08.050	decimal	Cue	
LFX - DUO SPOT	1:04.269	0:08.050	decimal	Cue	
LFX - COLOUR SCROLL	0:56.094	0:08.174	decimal	Cue	
LFX - CS SPOT	0:56.094	0:08.174	decimal	Cue	
LFX - DUO SPOT	0:56.094	0:08.174	decimal	Cue	
LFX - PARTY CHASE	0:48.367	0:07.726	decimal	Cue	
LFX - FULL TAB WASH	0:46.964	0:01.402	decimal	Cue	
LFX - PARTY CHASE	0:46.964	0:01.402	decimal	Cue	
LFX - PARTY CHASE	0:40.297	0:06.666	decimal	Cue	
LFX - GREEN STAGE WASH	0:39.000	0:01.297	decimal	Cue	
LFX - FULL TAB WASH	0:39.000	0:01.297	decimal	Cue	
LFX - ATMOS WASH	0:38.349	0:00.650	decimal	Cue	
LFX - PARTY FLASHING	0:36.410	0:01.938	decimal	Cue	
LFX - CS SPOT	0:31.900	0:04.510	decimal	Cue	
LFX - DUO SPOT	0:24.295	0:12.114	decimal	Cue	
LFX - PARTY PULSE	0:24.295	0:12.114	decimal	Cue	
LFX - TICK TICK BOOM	0:23.327	0:00.967	decimal	Cue	
LFX - CS SPOT	0:07.318	0:16.008	decimal	Cue	
LFX - COLOUR SCROLL	0:07.318	0:16.008	decimal	Cue	
LFX - DUO SPOT	0:07.318	0:16.008	decimal	Cue	
LFX - ATMOS WASH	0:06.321	0:00.996	decimal	Cue	
LFX - COLOUR SCROLL	0:00.380	0:05.940	decimal	Cue	
