Name	Start	Duration	Time Format	Type	Description
LFX - BLACKOUT	3:53.079	0:00.242	decimal	Cue	
LFX - ATMOS WASH	3:50.064	0:03.014	decimal	Cue	
LFX - ATMOS WASH	3:38.656	0:11.407	decimal	Cue	
LFX - FULL TAB WASH	3:38.656	0:11.407	decimal	Cue	
LFX - FULL STAGE WASH	3:05.465	0:33.190	decimal	Cue	
LFX - HALF TAB WASH	3:04.078	0:01.386	decimal	Cue	
LFX - ATMOS WASH	3:04.078	0:01.386	decimal	Cue	
LFX - ATMOS WASH	2:42.250	0:21.827	decimal	Cue	
LFX - HALF TAB WASH	2:41.846	0:00.403	decimal	Cue	
LFX - ATMOS WASH	2:41.537	0:00.308	decimal	Cue	
LFX - HALF TAB WASH	2:41.086	0:00.450	decimal	Cue	
LFX - HALF TAB WASH	2:40.234	0:00.363	decimal	Cue	
LFX - ATMOS WASH	2:40.234	0:00.363	decimal	Cue	
LFX - BLUE FLASHING	2:28.058	0:12.175	decimal	Cue	
LFX - ATMOS WASH	2:28.058	0:12.175	decimal	Cue	
LFX - FULL TAB WASH	2:03.432	0:24.625	decimal	Cue	
LFX - HALF TAB WASH	1:38.510	0:24.921	decimal	Cue	
LFX - ATMOS WASH	1:38.510	0:24.921	decimal	Cue	
LFX - WITCH SPOT	1:29.239	0:09.270	decimal	Cue	
LFX - ATMOS WASH	1:29.239	0:09.270	decimal	Cue	
LFX - FAIRY SPOT	0:33.680	0:55.558	decimal	Cue	
LFX - ATMOS WASH	0:33.680	0:55.319	decimal	Cue	
LFX - ATMOS WASH	0:00.000	0:33.680	decimal	Cue	
