Name	Start	Duration	Time Format	Type	Description
LFX - TAB STAGGER CHASE	0:00.000	0:03.861	decimal	Cue	
LFX - FULL STAGE WASH	0:03.861	0:00.271	decimal	Cue	
LFX - TAB STAGGER CHASE	0:04.133	0:03.786	decimal	Cue	
LFX - FULL STAGE WASH	0:07.919	0:00.310	decimal	Cue	
LFX - SPOTLIGHT	0:08.230	0:07.363	decimal	Cue	
LFX - STAGE WASH PULSE	0:11.993	0:00.282	decimal	Cue	
LFX - CS FOCUS	0:15.593	0:49.001	decimal	Cue	
LFX - STAGE WASH PULSE	0:16.061	0:00.268	decimal	Cue	
LFX - STAGE WASH PULSE	0:20.118	0:00.279	decimal	Cue	
LFX - BADUM BUM	0:23.683	0:00.791	decimal	Cue	
LFX - SPOTLIGHT FOCUS	0:24.474	0:16.026	decimal	Cue	
LFX - WHITE PULSE CHASE	0:24.474	0:16.026	decimal	Cue	
LFX - SPOTLIGHT FOCUS	0:40.501	0:24.094	decimal	Cue	
LFX - WHITE PULSE CHASE	0:40.501	0:15.964	decimal	Cue	
LFX - STAGE WASH PULSE	0:48.608	0:00.313	decimal	Cue	
LFX - LED STATIC BLUE	0:56.465	0:08.130	decimal	Cue	
LFX - SPOTLIGHT	1:05.146	0:16.244	decimal	Cue	
LFX - SEASONS SCROLL	1:05.146	0:16.244	decimal	Cue	
LFX - TAB STAGGER CHASE	1:21.390	0:16.281	decimal	Cue	
LFX - SPOTLIGHT FOCUS	1:21.390	0:16.281	decimal	Cue	
LFX - QUICK WHITE PULSE	1:21.390	0:16.281	decimal	Cue	
LFX - SPOTLIGHT	1:37.672	0:01.525	decimal	Cue	
LFX - HALF SPOTLIGHT	1:39.198	0:02.560	decimal	Cue	
LFX - TAB STAGGER CHASE	1:39.198	0:02.560	decimal	Cue	
LFX - WHITE PULSE CHASE	1:39.198	0:02.560	decimal	Cue	
LFX - SPOTLIGHT	1:41.758	0:01.506	decimal	Cue	
LFX - HALF SPOTLIGHT	1:43.265	0:02.560	decimal	Cue	
LFX - TAB STAGGER CHASE	1:43.265	0:02.560	decimal	Cue	
LFX - WHITE PULSE CHASE	1:43.265	0:02.560	decimal	Cue	
LFX - SPOTLIGHT FOCUS	1:45.826	0:07.621	decimal	Cue	
LFX - WHITE PULSE CHASE	1:45.826	0:07.621	decimal	Cue	
LFX - TAB STAGGER CHASE	1:45.826	0:07.621	decimal	Cue	
LFX - HALF SPOTLIGHT	1:53.447	0:00.988	decimal	Cue	
LFX - LED STATIC GREEN	1:53.447	0:00.988	decimal	Cue	
