Name	Start	Duration	Time Format	Type	Description
LFX - FULL STAGE WASH	1:33.056	0:02.760	decimal	Cue	
LFX - LIGHT FORMATION 1	1:32.890	0:00.165	decimal	Cue	
LFX - LIGHT FORMATION 2	1:32.724	0:00.165	decimal	Cue	
LFX - LIGHT FORMATION 1	1:32.544	0:00.179	decimal	Cue	
LFX - PARTY CHASE	1:09.076	0:23.467	decimal	Cue	
LFX - CS SPOT	1:09.076	0:23.467	decimal	Cue	
LFX - CS SPOT	1:07.618	0:01.457	decimal	Cue	
LFX - HALF STAGE WASH	0:57.390	0:10.227	decimal	Cue	
LFX - PARTY CHASE	0:57.390	0:10.227	decimal	Cue	
LFX - PARTY CHASE	0:00.000	0:57.390	decimal	Cue	
LFX - LOW STAGE WASH	0:00.000	0:57.390	decimal	Cue	
