Name	Start	Duration	Time Format	Type	Description
LFX - LED STATIC BLUE	0:04.333	0:05.666	decimal	Cue	
LFX - TAB CHASE	0:08.622	0:01.414	decimal	Cue	
LFX - SPOTLIGHT FOCUS	0:10.036	0:20.634	decimal	Cue	
LFX - SR FOCUS	0:30.671	0:17.828	decimal	Cue	
LFX - LED STATIC BLUE	0:30.671	0:00.343	decimal	Cue	
LFX - LED STATIC WHITE/BLUE	0:31.015	0:00.343	decimal	Cue	
LFX - LED STATIC BLUE	0:31.358	0:00.346	decimal	Cue	
LFX - LED STATIC WHITE/BLUE	0:31.704	0:00.341	decimal	Cue	
LFX - LED STATIC BLUE	0:47.131	0:00.338	decimal	Cue	
LFX - LED STATIC WHITE/BLUE	0:47.469	0:00.351	decimal	Cue	
LFX - LED STATIC BLUE	0:47.821	0:00.334	decimal	Cue	
LFX - LED STATIC WHITE/BLUE	0:48.156	0:00.343	decimal	Cue	
LFX - LIGHT FORMATION 1	0:48.500	0:01.373	decimal	Cue	
LFX - FIX STUFF WASH	0:48.500	0:02.747	decimal	Cue	
LFX - LIGHT FORMATION 2	0:49.873	0:01.373	decimal	Cue	
LFX - SPOTLIGHT FOCUS	0:51.247	0:04.092	decimal	Cue	
LFX - SR FOCUS	0:51.247	0:04.092	decimal	Cue	
LFX - FULL STAGE WASH	0:55.339	0:02.728	decimal	Cue	
LFX - FOREST STAGE WASH	0:58.068	0:01.339	decimal	Cue	
LFX - LIGHT FORMATION 1	0:59.408	0:01.370	decimal	Cue	
LFX - FIX STUFF WASH	0:59.408	0:02.716	decimal	Cue	
LFX - LIGHT FORMATION 2	1:00.778	0:01.345	decimal	Cue	
LFX - FULL STAGE WASH	1:02.124	0:06.801	decimal	Cue	
LFX - FOREST STAGE WASH	1:08.926	0:02.728	decimal	Cue	
LFX - LED STATIC BLUE	1:10.263	0:00.338	decimal	Cue	
LFX - LED STATIC WHITE/BLUE	1:10.601	0:00.343	decimal	Cue	
LFX - LED STATIC BLUE	1:10.944	0:00.347	decimal	Cue	
LFX - LED STATIC WHITE/BLUE	1:11.292	0:00.361	decimal	Cue	
LFX - CS FOCUS	1:11.654	0:16.131	decimal	Cue	
LFX - LED GREEN/PINK PULSE	1:11.654	0:16.131	decimal	Cue	
LFX - SPOTLIGHT FOCUS	1:27.786	0:17.514	decimal	Cue	
LFX - LED STATIC GREEN	1:27.786	0:17.514	decimal	Cue	
LFX - LIGHT FORMATION 1	1:45.301	0:01.324	decimal	Cue	
LFX - FIX STUFF WASH	1:45.301	0:02.698	decimal	Cue	
LFX - LIGHT FORMATION 2	1:46.625	0:01.362	decimal	Cue	
LFX - SPOTLIGHT FOCUS	1:47.987	0:04.047	decimal	Cue	
LFX - FULL STAGE WASH	1:52.035	0:14.710	decimal	Cue	
LFX - RAIN	1:56.080	0:18.478	decimal	Cue	
LFX - FOREST STAGE WASH	2:06.746	0:13.982	decimal	Cue	
LFX - WHITE PULSE CHASE	2:14.558	0:06.170	decimal	Cue	
LFX - FULL STAGE WASH	2:20.729	0:04.658	decimal	Cue	
