Name	Start	Duration	Time Format	Type	Description
LFX - TAB CHASE	0:00.000	0:01.500	decimal	Cue	
LFX - PARTY CHASE	0:01.500	0:19.208	decimal	Cue	
LFX - FIX STUFF WASH	0:01.500	0:19.208	decimal	Cue	
LFX - CIRCUS WASH	0:01.500	0:01.859	decimal	Cue	
LFX - CIRCUS WASH	0:06.313	0:01.821	decimal	Cue	
LFX - CIRCUS WASH	0:11.154	0:01.790	decimal	Cue	
LFX - LED STATIC ORANGE	0:20.708	0:19.223	decimal	Cue	
LFX - WHITE PULSE CHASE	0:20.708	0:19.223	decimal	Cue	
LFX - STAGE WASH PULSE	0:20.708	0:19.223	decimal	Cue	
LFX - FULL TAB WASH	0:30.198	0:00.564	decimal	Cue	
LFX - TAB CHASE	0:39.000	0:00.932	decimal	Cue	
LFX - PARTY CHASE	0:39.932	0:18.514	decimal	Cue	
LFX - FIX STUFF WASH	0:39.932	0:18.514	decimal	Cue	
LFX - STAGE WASH PULSE	0:39.932	0:18.514	decimal	Cue	
LFX - WHITE PULSE CHASE	0:39.932	0:18.514	decimal	Cue	
LFX - FULL TAB WASH	0:39.932	0:01.769	decimal	Cue	
LFX - FULL TAB WASH	0:44.700	0:01.778	decimal	Cue	
LFX - FULL TAB WASH	0:49.478	0:01.810	decimal	Cue	
LFX - FULL TAB WASH	0:58.447	0:00.663	decimal	Cue	
LFX - CIRCUS WASH	0:59.111	0:06.174	decimal	Cue	
