Name	Start	Duration	Time Format	Type	Description
LFX - FULL STAGE WASH	1:52.425	0:01.894	decimal	Cue	
LFX - HALF STAGE WASH	1:30.893	0:21.531	decimal	Cue	
LFX - HALF SL SPOT	1:30.893	0:21.531	decimal	Cue	
LFX - HALF SPOOKY STAGE WASH	1:30.893	0:21.531	decimal	Cue	
LFX - ATMOS WASH	1:29.141	0:01.751	decimal	Cue	
LFX - HALF STAGE WASH	1:29.141	0:01.751	decimal	Cue	
LFX - FULL STAGE WASH	1:26.791	0:02.349	decimal	Cue	
LFX - STAGE PULSE	1:13.230	0:13.560	decimal	Cue	
LFX - FULL TAB WASH	1:13.230	0:13.560	decimal	Cue	
LFX - RED FLOOD WASH	1:13.230	0:13.560	decimal	Cue	
LFX - HALF SPOOKY STAGE WASH	0:53.161	0:20.068	decimal	Cue	
LFX - HALF STAGE WASH	0:53.161	0:20.068	decimal	Cue	
LFX - FULL WASH	0:49.363	0:03.797	decimal	Cue	
LFX - HALF STAGE WASH	0:43.682	0:05.680	decimal	Cue	
LFX - STAGE PULSE	0:43.682	0:05.680	decimal	Cue	
LFX - HALF SL SPOT	0:43.682	0:05.680	decimal	Cue	
LFX - STAGE PULSE	0:32.513	0:11.168	decimal	Cue	
LFX - FULL STAGE WASH	0:32.513	0:11.168	decimal	Cue	
LFX - FULL WASH	0:29.689	0:02.823	decimal	Cue	
LFX - HALF SPOOKY STAGE WASH	0:08.870	0:20.818	decimal	Cue	
LFX - FULL SR SPOT	0:08.870	0:20.818	decimal	Cue	
LFX - FULL STAGE WASH	0:05.326	0:03.543	decimal	Cue	
LFX - HALF STAGE WASH	0:00.000	0:05.326	decimal	Cue	
LFX - ATMOS WASH	0:00.000	0:05.326	decimal	Cue	
