Name	Start	Duration	Time Format	Type	Description
LFX - FULL STAGE WASH	0:00.000	0:47.839	decimal	Cue	
LFX - SPOTLIGHT	0:47.839	0:02.411	decimal	Cue	
LFX - LOW STAGE WASH	0:47.839	0:02.411	decimal	Cue	
LFX - SPOTLIGHT FOCUS	0:50.250	0:02.424	decimal	Cue	
LFX - FULL STAGE WASH	0:52.674	0:57.037	decimal	Cue	
LFX - WHITE PULSE CHASE	0:52.674	0:57.037	decimal	Cue	
LFX - FULL TAB WASH	1:49.712	0:23.831	decimal	Cue	
LFX - LED STATIC YELLOW	1:49.712	0:23.831	decimal	Cue	
LFX - SL SPOT	1:59.102	0:14.440	decimal	Cue	
LFX - FULL STAGE WASH	2:13.543	0:00.586	decimal	Cue	
LFX - FULL TAB WASH	2:14.130	0:57.405	decimal	Cue	
LFX - WHITE PULSE CHASE	2:14.130	0:57.405	decimal	Cue	
LFX - CIRCUS WASH	3:11.536	0:01.940	decimal	Cue	
LFX - FULL TAB WASH	3:13.476	0:00.578	decimal	Cue	
LFX - PARTY CHASE	3:14.055	0:02.412	decimal	Cue	
LFX - FIX STUFF WASH	3:14.055	0:02.412	decimal	Cue	
LFX - FULL STAGE WASH	3:16.467	0:01.794	decimal	Cue	
LFX - FULL TAB WASH	3:18.262	0:00.590	decimal	Cue	
LFX - PARTY CHASE	3:18.852	0:02.385	decimal	Cue	
LFX - FIX STUFF WASH	3:18.852	0:02.385	decimal	Cue	
LFX - FULL STAGE WASH	3:21.238	0:01.818	decimal	Cue	
LFX - FULL TAB WASH	3:23.056	0:00.598	decimal	Cue	
LFX - SPOTLIGHT FOCUS	3:23.654	0:02.400	decimal	Cue	
LFX - PARTY CHASE	3:26.055	0:04.803	decimal	Cue	
LFX - FIX STUFF WASH	3:26.055	0:04.803	decimal	Cue	
LFX - FIX STUFF WASH	3:30.858	0:16.768	decimal	Cue	
LFX - SEASONS SCROLL	3:30.858	0:16.768	decimal	Cue	
LFX - SPOTLIGHT	3:47.626	0:16.783	decimal	Cue	
LFX - LED STATIC ORANGE	3:47.626	0:01.784	decimal	Cue	
LFX - LED STATIC WHITE	3:49.411	0:00.617	decimal	Cue	
LFX - ORANGEY SCROLL	3:50.028	0:14.381	decimal	Cue	
LFX - FIX STUFF WASH	3:50.028	0:14.381	decimal	Cue	
LFX - SL SPOT	3:58.441	0:02.063	decimal	Cue	
LFX - FRONT-BACK CANON	4:04.409	0:02.386	decimal	Cue	
LFX - FIX STUFF WASH	4:04.409	0:04.781	decimal	Cue	
LFX - TAB STAGGER CHASE	4:06.796	0:02.394	decimal	Cue	
LFX - CIRCUS WASH	4:09.190	0:01.809	decimal	Cue	
LFX - FULL TAB WASH	4:11.000	0:00.572	decimal	Cue	
LFX - PARTY CHASE	4:11.572	0:02.427	decimal	Cue	
LFX - FIX STUFF WASH	4:11.572	0:02.427	decimal	Cue	
LFX - FULL STAGE WASH	4:14.000	0:01.780	decimal	Cue	
LFX - FULL TAB WASH	4:15.780	0:00.596	decimal	Cue	
LFX - PARTY CHASE	4:16.377	0:02.442	decimal	Cue	
LFX - FIX STUFF WASH	4:16.377	0:02.442	decimal	Cue	
LFX - FULL STAGE WASH	4:18.820	0:01.752	decimal	Cue	
LFX - FULL TAB WASH	4:20.573	0:00.596	decimal	Cue	
LFX - PARTY CHASE	4:21.170	0:06.601	decimal	Cue	
LFX - FIX STUFF WASH	4:21.170	0:06.601	decimal	Cue	
LFX - FULL TAB WASH	4:27.771	0:00.612	decimal	Cue	
LFX - CIRCUS WASH	4:28.384	0:04.304	decimal	Cue	
