Name	Start	Duration	Time Format	Type	Description
LFX - SPOTLIGHT	0:00.000	0:14.908	decimal	Cue	
LFX - LED STATIC RED	0:00.000	0:44.477	decimal	Cue	
LFX - FIX STUFF WASH	0:14.844	0:29.632	decimal	Cue	
LFX - TAB CHASE	0:43.041	0:01.435	decimal	Cue	
LFX - RED WASH PULSE CHASE	0:44.477	0:41.481	decimal	Cue	
LFX - HALF SPOTLIGHT	0:44.477	0:41.585	decimal	Cue	
LFX - FIX STUFF WASH	0:44.495	0:41.567	decimal	Cue	
LFX - LED STATIC RED	1:25.958	0:02.968	decimal	Cue	
LFX - SR FOCUS	1:27.226	0:01.701	decimal	Cue	
LFX - STAGE WASH PULSE	1:28.927	0:27.347	decimal	Cue	
LFX - LED RED/WHITE CANON	1:28.927	0:27.347	decimal	Cue	
LFX - SR FOCUS	1:28.927	0:27.347	decimal	Cue	
LFX - LED STATIC RED	1:56.274	0:01.915	decimal	Cue	
LFX - SPOTLIGHT	1:56.275	0:01.914	decimal	Cue	
LFX - LED STATIC WHITE	1:58.189	0:00.373	decimal	Cue	
LFX - RED WASH PULSE CHASE	1:58.563	0:23.438	decimal	Cue	
LFX - FIX STUFF WASH	1:58.564	0:23.437	decimal	Cue	
LFX - STAGE WASH PULSE	1:58.564	0:23.437	decimal	Cue	
LFX - HALF SPOTLIGHT	1:58.564	0:26.294	decimal	Cue	
LFX - RED STAGE WASH	2:22.001	0:02.856	decimal	Cue	
LFX - FULL TAB WASH	2:22.001	0:02.856	decimal	Cue	
