Name	Start	Duration	Time Format	Type	Description
LFX - BLACKOUT	3:30.060	0:06.867	decimal	Cue	
LFX - FULL STAGE WASH	3:25.400	0:04.659	decimal	Cue	
LFX - PINK STAGE WASH	3:24.496	0:00.903	decimal	Cue	
LFX - CS SPOT	3:24.496	0:00.903	decimal	Cue	
LFX - TAB CHASE	3:23.766	0:00.729	decimal	Cue	
LFX - HALF STAGE WASH	3:23.766	0:00.729	decimal	Cue	
LFX - FULL STAGE WASH	3:21.763	0:02.002	decimal	Cue	
LFX - FULL TAB WASH	3:19.071	0:02.691	decimal	Cue	
LFX - RED STAGE PULSE	3:19.071	0:02.691	decimal	Cue	
LFX - FORMATION CHASE	3:19.070	0:00.000	decimal	Cue	
LFX - HALF STAGE WASH	3:16.405	0:02.665	decimal	Cue	
LFX - RED STAGE PULSE	3:16.405	0:02.665	decimal	Cue	
LFX - FORMATION CHASE	3:16.405	0:02.665	decimal	Cue	
LFX - LOW STAGE WASH	3:13.782	0:02.622	decimal	Cue	
LFX - FORMATION CHASE	3:13.782	0:02.622	decimal	Cue	
LFX - RED STAGE PULSE	3:13.300	0:00.482	decimal	Cue	
LFX - FULL STAGE WASH	3:11.120	0:02.661	decimal	Cue	
LFX - FULL TAB WASH	3:03.136	0:07.984	decimal	Cue	
LFX - PARTY CHASE	3:03.136	0:07.984	decimal	Cue	
LFX - PARTY CHASE	2:52.460	0:10.675	decimal	Cue	
LFX - FULL STAGE WASH	2:50.000	0:02.460	decimal	Cue	
LFX - PARTY CHASE	2:41.804	0:08.195	decimal	Cue	
LFX - FULL STAGE WASH	2:39.444	0:02.360	decimal	Cue	
LFX - PARTY CHASE	2:31.392	0:08.051	decimal	Cue	
LFX - FULL STAGE WASH	2:28.789	0:02.602	decimal	Cue	
LFX - BLACKOUT	2:18.000	0:10.789	decimal	Cue	
LFX - FULL STAGE WASH	2:10.000	0:08.000	decimal	Cue	
LFX - FULL TAB WASH	2:02.747	0:07.252	decimal	Cue	
LFX - MULTICOLOUR FLOOD WASH	2:02.747	0:07.252	decimal	Cue	
LFX - FORMATION CHASE	2:02.747	0:07.252	decimal	Cue	
LFX - FULL STAGE WASH	1:59.432	0:03.314	decimal	Cue	
LFX - PARTY CHASE	1:51.092	0:08.340	decimal	Cue	
LFX - FULL STAGE WASH	1:48.754	0:02.337	decimal	Cue	
LFX - PARTY CHASE	1:40.746	0:08.007	decimal	Cue	
LFX - FULL STAGE WASH	1:38.000	0:02.746	decimal	Cue	
LFX - PARTY CHASE	1:32.637	0:05.362	decimal	Cue	
LFX - FULL WASH	1:32.478	0:00.158	decimal	Cue	
LFX - PARTY CHASE	1:22.068	0:10.409	decimal	Cue	
LFX - FULL WASH	1:21.817	0:00.250	decimal	Cue	
LFX - PARTY CHASE	1:08.715	0:13.101	decimal	Cue	
LFX - CS WASH	1:06.000	0:02.715	decimal	Cue	
LFX - PINK STAGE WASH	1:06.000	0:02.715	decimal	Cue	
LFX - PARTY PULSE	0:56.442	0:09.557	decimal	Cue	
LFX - CS WASH	0:56.442	0:09.557	decimal	Cue	
LFX - PARTY PULSE	0:44.782	0:11.659	decimal	Cue	
LFX - CS SPOT	0:44.782	0:11.659	decimal	Cue	
LFX - CS SPOT	0:42.397	0:02.384	decimal	Cue	
LFX - PINK STAGE WASH	0:42.397	0:02.384	decimal	Cue	
LFX - PINK STAGE WASH	0:42.062	0:00.334	decimal	Cue	
LFX - FULL STAGE WASH	0:36.773	0:05.288	decimal	Cue	
LFX - FULL WASH	0:36.449	0:00.323	decimal	Cue	
LFX - FULL STAGE WASH	0:26.103	0:10.345	decimal	Cue	
LFX - FULL WASH	0:25.788	0:00.314	decimal	Cue	
LFX - FULL STAGE WASH	0:23.414	0:02.373	decimal	Cue	
LFX - FULL STAGE WASH	0:13.364	0:10.049	decimal	Cue	
LFX - WITCH SPOT	0:13.364	0:10.049	decimal	Cue	
LFX - COLOUR SCROLL	0:13.364	0:10.049	decimal	Cue	
LFX - FULL STAGE WASH	0:00.000	0:13.364	decimal	Cue	
LFX - FAIRY SPOT	0:00.000	0:13.364	decimal	Cue	
LFX - COLOUR SCROLL	0:00.000	0:13.364	decimal	Cue	
