Name	Start	Duration	Time Format	Type	Description
LFX - GROOVY	0:00.000	0:20.000	decimal	Cue	
LFX - SPOTLIGHT	0:00.000	1:43.172	decimal	Cue	
LFX - LED STATIC PINK	0:20.000	0:00.905	decimal	Cue	
LFX - LED STATIC PINK	0:22.638	0:01.697	decimal	Cue	
LFX - LED STATIC PINK	0:26.086	0:01.257	decimal	Cue	
LFX - GROOVY	0:27.757	0:26.996	decimal	Cue	
LFX - PARTY CHASE	0:55.184	0:19.927	decimal	Cue	
LFX - FIX STUFF WASH	0:55.184	0:19.927	decimal	Cue	
LFX - LED STATIC PINK	1:15.755	0:06.855	decimal	Cue	
LFX - LED STATIC WHITE	1:22.610	0:01.713	decimal	Cue	
LFX - LED STATIC PINK	1:24.324	0:01.721	decimal	Cue	
LFX - LED STATIC WHITE	1:26.045	0:01.706	decimal	Cue	
LFX - LED CANON	1:27.751	0:01.295	decimal	Cue	
LFX - GROOVY	1:29.047	0:00.426	decimal	Cue	
LFX - PARTY CHASE	1:29.473	0:12.019	decimal	Cue	
LFX - FIX STUFF WASH	1:29.473	0:12.023	decimal	Cue	
LFX - LED STATIC PINK	1:41.497	0:04.805	decimal	Cue	
LFX - HALF SPOTLIGHT	1:43.172	0:03.129	decimal	Cue	
