Name	Start	Duration	Time Format	Type	Description
LFX - ROMANCE WASH	3:33.607	0:02.076	decimal	Cue	
LFX - PARTY CHASE	2:45.000	0:48.607	decimal	Cue	
LFX - LIGHT FORMATION 1	2:44.634	0:00.365	decimal	Cue	
LFX - LIGHT FORMATION 2	2:44.271	0:00.362	decimal	Cue	
LFX - LIGHT FORMATION 1	2:43.885	0:00.385	decimal	Cue	
LFX - PINK STAGE WASH	2:40.356	0:03.528	decimal	Cue	
LFX - PARTY CHASE	2:30.006	0:10.349	decimal	Cue	
LFX - LIGHT FORMATION 1	2:29.594	0:00.411	decimal	Cue	
LFX - LIGHT FORMATION 2	2:29.275	0:00.318	decimal	Cue	
LFX - LIGHT FORMATION 1	2:28.880	0:00.394	decimal	Cue	
LFX - MULTICOLOUR FLOOD WASH	2:18.017	0:10.862	decimal	Cue	
LFX - FORMATION CHASE	2:18.017	0:10.862	decimal	Cue	
LFX - PARTY CHASE	1:42.000	0:36.017	decimal	Cue	
LFX - LIGHT FORMATION 1	1:41.642	0:00.358	decimal	Cue	
LFX - LIGHT FORMATION 2	1:41.283	0:00.358	decimal	Cue	
LFX - LIGHT FORMATION 1	1:40.897	0:00.385	decimal	Cue	
LFX - HALF STAGE WASH	1:38.904	0:01.992	decimal	Cue	
LFX - PARTY CHASE	1:12.038	0:26.865	decimal	Cue	
LFX - HALF STAGE WASH	1:06.032	0:06.005	decimal	Cue	
LFX - DUO SPOT	1:06.032	0:06.005	decimal	Cue	
LFX - PARTY CHASE	0:42.032	0:23.999	decimal	Cue	
LFX - LIGHT FORMATION 1	0:41.619	0:00.412	decimal	Cue	
LFX - LIGHT FORMATION 2	0:41.290	0:00.328	decimal	Cue	
LFX - LIGHT FORMATION 1	0:40.867	0:00.422	decimal	Cue	
LFX - PARTY CHASE	0:00.000	0:40.867	decimal	Cue	
