Name	Start	Duration	Time Format	Type	Description
LFX - SPOTLIGHT	0:00.000	1:53.613	decimal	Cue	
LFX - LED STATIC RED	0:00.000	0:21.489	decimal	Cue	
LFX - LOW STAGE WASH	0:00.616	0:37.383	decimal	Cue	
LFX - LED RED/WHITE CANON	0:21.489	0:16.510	decimal	Cue	
LFX - CIRCUS WASH	0:40.102	0:01.726	decimal	Cue	
LFX - CIRCUS WASH	0:44.418	0:01.581	decimal	Cue	
LFX - CIRCUS WASH	0:48.606	0:01.564	decimal	Cue	
LFX - CIRCUS WASH	0:52.768	0:01.581	decimal	Cue	
LFX - RED STAGE WASH	0:54.349	0:36.007	decimal	Cue	
LFX - STAGE WASH PULSE	0:54.349	0:35.982	decimal	Cue	
LFX - FIX STUFF WASH	0:54.349	0:35.982	decimal	Cue	
LFX - CIRCUS WASH	1:05.636	0:01.768	decimal	Cue	
LFX - SPOTLIGHT	1:30.357	0:02.539	decimal	Cue	
LFX - LOW STAGE WASH	1:32.896	0:15.492	decimal	Cue	
LFX - LED STATIC RED	1:33.756	0:14.632	decimal	Cue	
LFX - CIRCUS WASH	1:48.388	0:05.224	decimal	Cue	
