Name	Start	Duration	Time Format	Type	Description
LFX - FIX STUFF WASH	0:00.000	0:05.535	decimal	Cue	
LFX - LIGHT FORMATION 1	0:00.575	0:01.347	decimal	Cue	
LFX - LIGHT FORMATION 2	0:01.922	0:01.382	decimal	Cue	
LFX - LIGHT FORMATION 1	0:03.304	0:02.230	decimal	Cue	
LFX - SPOTLIGHT	0:05.535	0:21.929	decimal	Cue	
LFX - HALF STAGE WASH	0:05.535	0:21.929	decimal	Cue	
LFX - CS FOCUS	0:27.465	0:21.949	decimal	Cue	
LFX - SPOTLIGHT	0:49.414	0:21.951	decimal	Cue	
LFX - HALF STAGE WASH	0:49.414	0:21.951	decimal	Cue	
LFX - CS FOCUS	1:11.366	0:22.519	decimal	Cue	
LFX - LOW STAGE WASH	1:33.886	0:09.518	decimal	Cue	
LFX - SPOTLIGHT	1:33.886	0:09.518	decimal	Cue	
LFX - CS FOCUS	1:43.404	0:11.847	decimal	Cue	
LFX - FULL STAGE WASH	1:55.251	0:17.002	decimal	Cue	
LFX - CS FOCUS	2:12.254	0:04.745	decimal	Cue	
LFX - SPOTLIGHT	2:17.000	0:11.609	decimal	Cue	
LFX - LOW STAGE WASH	2:17.000	0:03.149	decimal	Cue	
LFX - HALF STAGE WASH	2:20.149	0:08.459	decimal	Cue	
