Name	Start	Duration	Time Format	Type	Description
LFX - BLACKOUT	5:15.000	0:01.360	decimal	Cue	
LFX - FULL SPOOKY STAGE WASH	5:14.398	0:00.601	decimal	Cue	
LFX - CS SPOT	5:13.926	0:00.471	decimal	Cue	
LFX - CS SPOT	5:13.481	0:00.444	decimal	Cue	
LFX - RED STAGE WASH	5:13.481	0:00.444	decimal	Cue	
LFX - CS SPOT	5:11.738	0:01.742	decimal	Cue	
LFX - FULL SPOOKY STAGE WASH	5:11.738	0:01.742	decimal	Cue	
LFX - CS SPOT	5:09.699	0:02.038	decimal	Cue	
LFX - HALF SPOOKY STAGE WASH	5:09.699	0:02.038	decimal	Cue	
LFX - HALF TAB WASH	4:54.613	0:15.085	decimal	Cue	
LFX - RED STAGE PULSE	4:54.613	0:15.085	decimal	Cue	
LFX - GREEN STAGE WASH	4:53.843	0:00.769	decimal	Cue	
LFX - TAB CHASE	4:53.843	0:00.769	decimal	Cue	
LFX - FULL TAB WASH	4:41.322	0:12.520	decimal	Cue	
LFX - RED GREEN PULSE	4:41.322	0:12.520	decimal	Cue	
LFX - TAB CHASE	4:40.399	0:00.922	decimal	Cue	
LFX - FLASHING	4:39.476	0:00.922	decimal	Cue	
LFX - FLASHING	4:33.784	0:05.691	decimal	Cue	
LFX - HALF CS SPOT	4:33.784	0:05.691	decimal	Cue	
LFX - RED GREEN PULSE	4:33.784	0:05.691	decimal	Cue	
LFX - RED STAGE WASH	4:32.356	0:01.427	decimal	Cue	
LFX - FLASHING	4:26.239	0:06.116	decimal	Cue	
LFX - HALF CS SPOT	4:26.239	0:06.116	decimal	Cue	
LFX - RED GREEN PULSE	4:26.239	0:06.116	decimal	Cue	
LFX - FULL SR SPOT	4:11.121	0:15.117	decimal	Cue	
LFX - RED STAGE PULSE	4:11.121	0:15.117	decimal	Cue	
LFX - GREEN STAGE WASH	4:10.655	0:00.465	decimal	Cue	
LFX - HALF TAB WASH	4:07.433	0:03.221	decimal	Cue	
LFX - GREEN PARTY CHASE	4:07.433	0:03.221	decimal	Cue	
LFX - HALF SL SPOT	4:03.839	0:03.593	decimal	Cue	
LFX - GREEN PARTY CHASE	4:03.839	0:03.593	decimal	Cue	
LFX - FLASHING	4:02.912	0:00.926	decimal	Cue	
LFX - HALF SL SPOT	4:02.912	0:00.926	decimal	Cue	
LFX - GREEN PARTY CHASE	4:02.912	0:00.926	decimal	Cue	
LFX - HALF SL SPOT	4:00.547	0:02.364	decimal	Cue	
LFX - GREEN PARTY CHASE	4:00.547	0:02.364	decimal	Cue	
LFX - TICK TICK BOOM	3:59.730	0:00.816	decimal	Cue	
LFX - GREEN STAGE WASH	3:56.543	0:03.186	decimal	Cue	
LFX - LOW TAB WASH	3:56.543	0:03.186	decimal	Cue	
LFX - GREEN STAGE WASH	3:54.754	0:01.788	decimal	Cue	
LFX - TAB CHASE	3:52.920	0:01.833	decimal	Cue	
LFX - HALF SL SPOT	3:40.219	0:12.700	decimal	Cue	
LFX - GREEN PARTY CHASE	3:40.219	0:12.700	decimal	Cue	
LFX - HALF SL SPOT	3:32.879	0:07.339	decimal	Cue	
LFX - GREEN STAGE PULSE	3:32.879	0:07.339	decimal	Cue	
LFX - TAB CHASE	3:31.060	0:01.818	decimal	Cue	
LFX - RED STAGE PULSE	3:29.108	0:01.951	decimal	Cue	
LFX - RED STAGE WASH	3:29.108	0:01.951	decimal	Cue	
LFX - FLASHING	3:29.108	0:01.951	decimal	Cue	
LFX - HALF TAB WASH	3:28.649	0:00.458	decimal	Cue	
LFX - RED FLOOD WASH	3:28.649	0:00.458	decimal	Cue	
LFX - RED STAGE PULSE	3:25.368	0:03.280	decimal	Cue	
LFX - RED STAGE WASH	3:25.368	0:03.280	decimal	Cue	
LFX - FLASHING	3:25.368	0:03.280	decimal	Cue	
LFX - HALF TAB WASH	3:24.877	0:00.490	decimal	Cue	
LFX - RED FLOOD WASH	3:24.877	0:00.490	decimal	Cue	
LFX - RED STAGE PULSE	3:21.570	0:03.306	decimal	Cue	
LFX - RED STAGE WASH	3:21.570	0:03.306	decimal	Cue	
LFX - FLASHING	3:21.570	0:03.306	decimal	Cue	
LFX - HALF TAB WASH	3:21.105	0:00.464	decimal	Cue	
LFX - RED FLOOD WASH	3:21.105	0:00.464	decimal	Cue	
LFX - RED STAGE PULSE	3:17.795	0:03.309	decimal	Cue	
LFX - RED STAGE WASH	3:17.795	0:03.309	decimal	Cue	
LFX - FLASHING	3:17.795	0:03.309	decimal	Cue	
LFX - TAB CHASE	3:15.920	0:01.874	decimal	Cue	
LFX - HALF SPOOKY STAGE WASH	3:14.715	0:01.204	decimal	Cue	
LFX - FULL TAB WASH	3:14.500	0:00.215	decimal	Cue	
LFX - HALF SPOOKY STAGE WASH	3:14.500	0:00.215	decimal	Cue	
LFX - HALF SPOOKY STAGE WASH	3:14.500	0:00.215	decimal	Cue	
LFX - HALF SPOOKY STAGE WASH	3:14.194	0:00.305	decimal	Cue	
LFX - FULL TAB WASH	3:14.000	0:00.194	decimal	Cue	
LFX - HALF SPOOKY STAGE WASH	3:14.000	0:00.194	decimal	Cue	
LFX - LOW DUO SPOT	3:10.915	0:03.084	decimal	Cue	
LFX - HALF SPOOKY STAGE WASH	3:10.915	0:03.084	decimal	Cue	
LFX - FULL TAB WASH	3:10.716	0:00.198	decimal	Cue	
LFX - HALF SPOOKY STAGE WASH	3:10.716	0:00.198	decimal	Cue	
LFX - HALF SPOOKY STAGE WASH	3:10.461	0:00.254	decimal	Cue	
LFX - FULL TAB WASH	3:10.236	0:00.224	decimal	Cue	
LFX - HALF SPOOKY STAGE WASH	3:10.236	0:00.224	decimal	Cue	
LFX - HALF SPOOKY STAGE WASH	3:06.477	0:03.758	decimal	Cue	
LFX - LOW DUO SPOT	3:06.477	0:03.758	decimal	Cue	
LFX - STAGE PULSE	3:02.691	0:03.785	decimal	Cue	
LFX - HALF SPOOKY STAGE WASH	3:02.691	0:03.785	decimal	Cue	
LFX - GREEN STAGE WASH	2:58.913	0:03.777	decimal	Cue	
LFX - FULL STAGE WASH	2:58.436	0:00.476	decimal	Cue	
LFX - RED STAGE WASH	2:55.104	0:03.331	decimal	Cue	
LFX - LIGHT FORMATION 2	2:54.642	0:00.461	decimal	Cue	
LFX - LIGHT FORMATION 1	2:54.154	0:00.487	decimal	Cue	
LFX - LIGHT FORMATION 2	2:53.716	0:00.437	decimal	Cue	
LFX - LIGHT FORMATION 1	2:53.243	0:00.472	decimal	Cue	
LFX - GREEN STAGE WASH	2:52.303	0:00.939	decimal	Cue	
LFX - HALF TAB WASH	2:52.303	0:00.939	decimal	Cue	
LFX - RED STAGE WASH	2:51.364	0:00.938	decimal	Cue	
LFX - HALF TAB WASH	2:51.364	0:00.938	decimal	Cue	
LFX - GREEN STAGE WASH	2:49.486	0:01.877	decimal	Cue	
LFX - HALF TAB WASH	2:49.486	0:01.877	decimal	Cue	
LFX - RED STAGE WASH	2:47.584	0:01.901	decimal	Cue	
LFX - HALF TAB WASH	2:47.584	0:01.901	decimal	Cue	
LFX - RED STAGE PULSE	2:32.451	0:15.132	decimal	Cue	
LFX - FULL TAB WASH	2:32.451	0:15.132	decimal	Cue	
LFX - LIGHT FORMATION 2	2:32.000	0:00.451	decimal	Cue	
LFX - RED FLOOD WASH	2:32.000	0:00.451	decimal	Cue	
LFX - LIGHT FORMATION 1	2:31.523	0:00.476	decimal	Cue	
LFX - RED FLOOD WASH	2:31.523	0:00.476	decimal	Cue	
LFX - LIGHT FORMATION 2	2:31.045	0:00.477	decimal	Cue	
LFX - RED FLOOD WASH	2:31.045	0:00.477	decimal	Cue	
LFX - LIGHT FORMATION 1	2:30.577	0:00.467	decimal	Cue	
LFX - RED FLOOD WASH	2:30.577	0:00.467	decimal	Cue	
LFX - RED FLOOD WASH	2:28.684	0:01.892	decimal	Cue	
LFX - CS SPOT	1:49.828	0:38.855	decimal	Cue	
LFX - EVIL WASH	1:34.899	0:14.928	decimal	Cue	
LFX - CS SPOT	1:34.899	0:14.928	decimal	Cue	
LFX - EVIL WASH	0:38.087	0:56.811	decimal	Cue	
LFX - DUO SPOT	0:38.087	0:56.811	decimal	Cue	
LFX - GREEN STAGE WASH	0:00.000	5:14.039	decimal	Cue	
LFX - WITCH SPOT	0:00.000	0:38.087	decimal	Cue	
LFX - EVIL WASH	0:00.000	0:38.087	decimal	Cue	
