Name	Start	Duration	Time Format	Type	Description
LFX - SPOTLIGHT	0:00.000	0:38.167	decimal	Cue	
LFX - HALF TAB WASH	0:07.599	0:02.501	decimal	Cue	
LFX - HALF TAB WASH	0:20.712	0:01.888	decimal	Cue	
LFX - HALF TAB WASH	0:29.779	0:02.839	decimal	Cue	
LFX - TAB STAGGER CHASE	0:36.618	0:01.548	decimal	Cue	
LFX - HALF TAB WASH	0:38.167	0:30.766	decimal	Cue	
LFX - SPOTLIGHT	0:38.167	1:10.129	decimal	Cue	
LFX - TAB STAGGER CHASE	1:08.934	0:01.349	decimal	Cue	
LFX - FULL TAB WASH	1:10.283	0:04.807	decimal	Cue	
LFX - TAB STAGGER CHASE	1:15.091	0:01.327	decimal	Cue	
LFX - FULL TAB WASH	1:16.419	0:10.973	decimal	Cue	
LFX - HALF TAB WASH	1:27.392	0:04.024	decimal	Cue	
LFX - BLACKOUT	1:48.297	0:03.274	decimal	Cue	
