Name	Start	Duration	Time Format	Type	Description
LFX - FRONT-BACK CANON	3:18.433	0:02.046	decimal	Cue	
LFX - RAIN	3:21.199	0:09.458	decimal	Cue	
LFX - SPOTLIGHT	3:21.199	0:05.502	decimal	Cue	
LFX - HALF TAB WASH	3:26.702	0:02.486	decimal	Cue	
LFX - FRONT-BACK CANON	3:29.188	0:01.470	decimal	Cue	
LFX - CIRCUS WASH	3:30.658	0:01.535	decimal	Cue	
LFX - TAB STAGGER CHASE	3:32.193	0:21.751	decimal	Cue	
LFX - FIX STUFF WASH	3:32.193	0:21.751	decimal	Cue	
LFX - LED STATIC WHITE/BLUE	3:53.945	0:02.625	decimal	Cue	
LFX - FULL TAB WASH	3:53.945	0:05.274	decimal	Cue	
LFX - LED STATIC WHITE	3:56.571	0:02.649	decimal	Cue	
LFX - FRONT-BACK CANON	3:59.220	0:01.973	decimal	Cue	
LFX - LED STATIC BLUE	4:01.194	0:22.826	decimal	Cue	
LFX - BLACKOUT	4:24.020	0:03.176	decimal	Cue	
