Name	Start	Duration	Time Format	Type	Description
LFX - LED STATIC BLUE	0:00.000	0:56.896	decimal	Cue	
LFX - SPOTLIGHT	0:00.000	4:24.020	decimal	Cue	
LFX - STAGE WASH PULSE	0:32.720	0:01.833	decimal	Cue	
LFX - STAGE WASH PULSE	0:38.649	0:02.210	decimal	Cue	
LFX - LED STATIC WHITE	0:40.860	0:03.404	decimal	Cue	
LFX - SL SPOT	0:56.896	0:02.976	decimal	Cue	
LFX - SL FOCUS	0:58.392	0:01.479	decimal	Cue	
LFX - SR SPOT	0:59.872	0:01.464	decimal	Cue	
LFX - SR FOCUS	1:01.337	0:01.479	decimal	Cue	
LFX - LED STATIC WHITE	1:02.817	0:02.944	decimal	Cue	
LFX - SPOTLIGHT FOCUS	1:05.762	0:21.507	decimal	Cue	
LFX - RAIN	1:08.736	0:18.534	decimal	Cue	
LFX - CS FOCUS	1:27.270	0:27.035	decimal	Cue	
LFX - LED STATIC WHITE/BLUE	1:27.270	0:04.030	decimal	Cue	
LFX - LED STATIC WHITE	1:31.301	0:01.057	decimal	Cue	
LFX - HALF TAB WASH	1:32.358	0:21.947	decimal	Cue	
LFX - FULL TAB WASH	1:54.305	1:05.019	decimal	Cue	
LFX - STAGE WASH PULSE	1:54.305	1:26.894	decimal	Cue	
LFX - WHITE PULSE CHASE	1:54.305	1:26.894	decimal	Cue	
LFX - SPOTLIGHT FOCUS	2:59.325	0:21.874	decimal	Cue	
LFX - LED STATIC BLUE	2:59.325	0:10.981	decimal	Cue	
LFX - LED STATIC WHITE/BLUE	3:10.306	0:10.893	decimal	Cue	
LFX - BACK-FRONT CANON	3:15.326	0:02.234	decimal	Cue	
LFX - FRONT-BACK CANON	3:18.433	0:02.046	decimal	Cue	
LFX - RAIN	3:21.199	0:09.458	decimal	Cue	
LFX - SPOTLIGHT	3:21.199	0:05.502	decimal	Cue	
LFX - HALF TAB WASH	3:26.702	0:02.486	decimal	Cue	
LFX - FRONT-BACK CANON	3:29.188	0:01.470	decimal	Cue	
LFX - CIRCUS WASH	3:30.658	0:01.535	decimal	Cue	
LFX - TAB STAGGER CHASE	3:32.193	0:21.751	decimal	Cue	
LFX - FIX STUFF WASH	3:32.193	0:21.751	decimal	Cue	
LFX - LED STATIC WHITE/BLUE	3:53.945	0:02.625	decimal	Cue	
LFX - FULL TAB WASH	3:53.945	0:05.274	decimal	Cue	
LFX - LED STATIC WHITE	3:56.571	0:02.649	decimal	Cue	
LFX - FRONT-BACK CANON	3:59.220	0:01.973	decimal	Cue	
LFX - LED STATIC BLUE	4:01.194	0:22.826	decimal	Cue	
LFX - BLACKOUT	4:24.020	0:03.176	decimal	Cue	
